title,product_type,vendor,account,privacy_url,tc_url,notes
ICE Virtual Library - ebook collection,E-Book Package,ICE Publishing,optional,https://www.icevirtuallibrary.com/page/privacy,,
ICE Virtual Library - ejournal collection,E-Journals/Package,ICE Publishing,optional,https://www.icevirtuallibrary.com.ezproxy/page/privacy,,
IEEE ebook collection,E-Book Package,IEEE,optional,https://www.ieee.org/security-privacy.html,,
IEEE ebook collection,E-Book Package,IEEE,optional,https://www.ieee.org/security-privacy.html,,
IEEE Proceedings,E-Journals/Package,IEEE,optional,https://www.ieee.org/security-privacy.html,https://ieeexplore.ieee.org/xpl/termsOfUse.jsp,
IEEE Standards,E-Journals/Package,IEEE,optional,https://www.ieee.org/security-privacy.html,https://ieeexplore.ieee.org/xpl/termsOfUse.jsp,
IEEE Xplore,E-Journals/Package,IEEE,optional,https://www.ieee.org/security-privacy.html,https://ieeexplore.ieee.org/xpl/termsOfUse.jsp,
MIT Press eBooks Library,E-Book Package,IEEE,optional,https://www.ieee.org/security-privacy.html,,
IET eBooks,E-Book Package,IET,optional,https://www.theiet.org/help/privacy.cfm?,,
IHS Standard Expert,Index/Database,IHS,mandatory,https://ihsmarkit.com/Legal/privacy-policy.html,https://ihsmarkit.com/legal/terms-of-use.html,
Global Insight,Index/Database,IHS Global Inc.,optional,https://ihsmarkit.com/legal/privacy-policy.html,https://connect.ihs.com/Home/Agreement,
IJGlobal,Index/Database,IJGlobal,optional,https://ijglobal.com/Privacy.html,https://ijglobal.com/terms-and-conditions,
Grant Connect,Index/Database,Imagine Canada,optional,https://grantconnect.ca/Home/Info/14,,
Government Finance Statistics,Index/Database,IMF,optional,https://www.imf.org/external/privacy.htm,,
IMF eLibrary,Index/Database,IMF,optional,https://www.imf.org/external/privacy.htm,,
Institute of Physics,E-Book Package,Institute of Physics,optional,http://ioppublishing.org/privacy-cookies-policy/,,
InteLex Past Masters,Index/Database,Intelex,optional,None,,
IAU Circulars,Index/Database,International Astronomical Union,optional,None,,
Internet Journal of Chemistry,E-Journals/Package,Internet Journal of Chemistry,optional,,,Site down: http://www.ijc.com/
IPA Source,Index/Database,IPA Source,optional,https://www.ipasource.com/privacy,,
ARTstor,Index/Database,Ithaka,optional,http://www.artstor.org/privacy-policy,http://www.artstor.org/artstor-terms,
Sustainalytics,Index/Database,Jantzi,optional,https://www.sustainalytics.com/privacy-and-cookie-policy/,https://www.sustainalytics.com/third-party-terms-of-use/,
Johns Hopkins Guide to Literary Theory and Criticism,Index/Database,Johns Hopkins UP,optional,https://www.press.jhu.edu/about/jhup-privacy-policy,https://www.press.jhu.edu/about/terms-use,
World Shakespeare Bibliography,Index/Database,Johns Hopkins UP,optional,https://www.press.jhu.edu/about/jhup-privacy-policy,https://www.press.jhu.edu/about/terms-use,
JSTOR,E-Journals/Package,JSTOR,optional,https://www.ithaka.org/privacypolicy,https://about.jstor.org/terms/,
Kanopy,E-Video Collection,Kanopy,mandatory,https://yorku.kanopy.com/privacy,,
Keesing's World News Archive,Index/Database,Keesing's Worldwide,optional,http://www.keesings.com/index_new.php?page=privacy-policy,,
"Canadian REIT Handbook, Second Edition",Index/Database,Knotia,optional,https://edu.knotia.ca/Information/PrivacyPolicyknotia.cfm,https://edu.knotia.ca/Information/KnotiaTermsOfUse.cfm,
International Financial Reporting Standards,Index/Database,Knotia,optional,https://edu.knotia.ca/Information/PrivacyPolicyknotia.cfm,https://edu.knotia.ca/Information/KnotiaTermsOfUse.cfm,
Knovel,E-Book Package,Knovel,optional,https://www.elsevier.com/legal/privacy-policy,,
Gale Virtual Reference Library,E-Book Package,Knowledge Ontario,optional,https://www.gale.com/privacy,,
Usito,Index/Database,Les Editions Delisme,mandatory,,https://www.usito.com/politique-utilisation.html,
LexisNexis Quicklaw,Index/Database,Lexis Nexis,optional,https://www.lexisnexis.com/en-us/terms/privacy-policy.page,https://www.lexisnexis.com/terms/Default.aspx,
Canadian Privacy Law Review Newsletter,E-Journals/Package,LexisNexis,,,,
DOAJ. Directory of Open Access Journals,E-Journals/Package,Lund University,optional,https://doaj.org/privacy,,
Who's Who in American Politics,Index/Database,Marquis,optional,https://www.marquiswhoswho.com/pages/privacy-policy,https://www.marquiswhoswho.com/pages/terms-conditions,
Films on Demand,Index/Database,Mcintyre Media,optional,http://support.infobaselearning.com/index.php?/Tech_Support/Knowledgebase/Article/View/1301/0/data-security-and-privacy-plan,http://digital.films.com/PortalTerms.aspx,
McIntyre Media,E-Video Collection,McIntyre Media,,none,,
McNabb Connolly,E-Video Collection,McNabb Connolly,,https://www.mcnabbconnolly.ca/privacy-policy,,
Mergent Intellect,Index/Database,Mergent,optional,http://www.mergentintellect.com/index.php/privacy/,,
Mergent Archives,Index/Database,Mergent,,https://www.mergentarchives.com/index.php,,
Mergent WebReports,Index/Database,Mergent,,https://www.mergentarchives.com/index.php,,
Merlin Press,E-Journals/Package,Merlin Press,optional,None,,http://www.merlinpress.co.uk/
Metropolitan Opera,Index/Database,Metropolitan Opera,optional,https://www.metopera.org/user-information/privacy-policy/,https://www.metopera.org/user-information/terms-and-conditions/,
Cognet,Index/Database,MIT Press,optional,http://cognet.mit.edu/privacy-statement,http://cognet.mit.edu/terms-of-use,
Colloquium Digital Library of Life Sciences,E-Book Package,Morgan and Claypool,optional,,,
Synthesis Digital Library of Engineering and Computer Science,Index/Database,Morgan and Claypool,,None,,
Morningstar Direct,Index/Database,Morningstar,mandatory,https://www.morningstar.com/about/privacy-policy.html,,
MSCI ESG KLD STATS,Index/Database,MSCI ESG Research LLC,mandatory,https://wrds-www.wharton.upenn.edu/pages/wrds-privacy-policy/,https://wrds-web.wharton.upenn.edu/wrds/about/terms.cfm,
Encyclopedia of Canada's Peoples online,Index/Database,Multicultural History Society of Ontario,optional,,http://ecp.ohmuseum.ca/terms-of-use/,
Naxos Music Library,Index/Database,Naxos,optional,http://york.naxosmusiclibrary.com/privacy.asp?mode=1,http://york.naxosmusiclibrary.com/terms_of_use.asp?mode=1,
Naxos Music Library World,E-Video Collection,Naxos,,http://york.naxosmusiclibrary.com/World/privacy.asp?mode=1,,
NBER Working Paper Series,E-Journals/Package,NBER,optional,https://www.nber.org/privacy.html,,
NFB,Index/Database,NFB,optional,None,,
ONF,Index/Database,NFBOff,optional,None,,
Sexual Diversity Studies,Index/Database,NISC (National Information Services Corporation),optional,,,
"Waterloo Directory of English Newspapers and Periodicals, 1800-1900",Index/Database,North Waterloo Academic Press,optional,None,,
Now Publishers Inc.,E-Journals/Package,Now Publishers Inc.,optional,none,,
DBpia,Index/Database,Nurimedia,optional,http://www.dbpia.co.kr/Help/PrivacyPolicy,http://www.dbpia.co.kr/Help/Agreement,
Observatory on Borderless Higher Education,Index/Database,OBHE,optional,https://www.i-graduate.org/privacy-policy,https://www.i-graduate.org/terms-and-conditions,
Brill Academic E-books,E-Book Package,OCUL,optional,http://booksandjournals.brillonline.com/access,,
Scholars Portal Journals,Index/Database,OCUL,optional,https://journals.scholarsportal.info/privacy,https://journals.scholarsportal.info/terms,
OECD iLibrary,Index/Database,OECD,optional,https://www.oecd-ilibrary.org/oecd/privacy,https://www.oecd-ilibrary.org/oecd/terms,
OntheBoards.tv,E-Video Collection,On the Boards,,http://ontheboards.tv/sites/default/files/otbtv_privacypolicy.pdf,,
Open Library of Humanities,Index/Database,Open Library of the Humanities,optional,https://www.openlibhums.org/site/privacy/,,
OptionMetrics,Index/Database,OPTIONMETRICS LLC,optional,https://optionmetrics.com/privacy-policy/,https://optionmetrics.com/terms-of-use/,
Oregon PDF in Health and Performance,Index/Database,Oregon University,optional,None,,
Oxford Handbooks Online: Archaeology,E-Book Package,OUP,optional,https://global.oup.com/privacy?cc=ca,,
Books@Ovid,E-Book Package,Ovid,optional,http://ovid.com/site/privacy.jsp,,
ERIC Database (via SilverPlatter),Index/Database,Ovid,optional,https://www.proquest.com/about/privacy-statement.html,https://www.proquest.com/about/terms-and-conditions.html,
Health and Psychosocial Instruments,Index/Database,Ovid,optional,http://ovid.com/site/privacy.jsp,http://www.ovid.com/site/terms.jsp,
International Political Science Abstracts,Index/Database,Ovid,optional,,,
Joanna Briggs Institute EBP Database,Index/Database,OVID,optional,http://ovid.com/site/privacy.jsp,http://www.ovid.com/site/terms.jsp,
Mental Measurements Yearbook,Index/Database,Ovid,optional,http://ovid.com/site/privacy.jsp,http://www.ovid.com/site/terms.jsp,
MLA Bibliography (SilverPlatter),Index/Database,Ovid,optional,https://www.ebsco.com/company/privacy-policy,https://www.ebsco.com/terms-of-use,
Ovid,E-Journals/Package,Ovid,optional,http://www.ovid.com/site/privacy.jsp,http://www.ovid.com/site/terms.jsp,
Ovid Nursing Collection,E-Journals/Package,Ovid,optional,http://www.ovid.com/site/privacy.jsp,http://www.ovid.com/site/terms.jsp,
Primal Pictures ,Index/Database,OVID,optional,https://informabi.com/privacy-policy,https://informabi.com/terms-conditions,
Social Work Abstracts,Index/Database,Ovid,optional,http://ovid.com/site/privacy.jsp,http://www.ovid.com/site/terms.jsp,
African American Studies Center,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
American National Biography,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Electronic Enlightenment,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Encyclopedia of Popular Music Online,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Encyclopedia of Social Work,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
New Grove Dictionary of Opera GROVE MUSIC,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Art Online,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Bibliographies Online,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Dictionary of National Biography,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford English Dictionary,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Handbooks Online,E-Book Package,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford History of Western Music,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Islamic Studies,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Language Dictionaries Online,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Music Online,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Reference Online,Index/Database,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Scholarly Editions,E-Book Package,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford Scholarship Online,E-Book Package,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Oxford University Press Journals,E-Journals/Package,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
The Collected Works of D. W. Winnicott,E-Journals/Package,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
University Press Scholarship Online,E-Book Package,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,
Western History Association ***,E-Journals/Package,Oxford University Press,optional,https://global.oup.com/privacy?cc=ca,,"Info in library catalogue is out of date. WHA no longer at Utah State, moved to University of Nebraska: https://www.westernhistory.org/"
19th Century Masterfile,Index/Database,Paratext,optional,None,,
Poiesis,Index/Database,Philosophy Documentation Center,optional,None,,
PhilPapers,Index/Database,Philpapers,optional,,https://philpapers.org/help/terms.html,
PLoS,E-Journals/Package,PLOS,optional,https://www.plos.org/privacy-policy,https://www.plos.org/terms-of-use,
